url,status_code,error,source_files
http://www.computerhistory.org/atchm/wp-content/uploads/2012/08/x665.86p-03-032.jpg,404,HTTP Error 404: Not Found,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 Computer Science\2024-2025\BBC BASIC\Getting started with BBC Basic\L1 - HelloWorld and Shapes in BBC Basic.pptx
http://www.computermuseum.li/Testpage/Commodore64-Frontview.jpg,,<urlopen error timed out>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 Computer Science\2024-2025\BBC BASIC\Getting started with BBC Basic\L1 - HelloWorld and Shapes in BBC Basic.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 Computer Science\2025-2026\BBC Basic & Coding\BBC Basic Skills\1 & 2) Shapes and Maths.pptx
http://www.computerweekly,,<urlopen error [Errno 11001] getaddrinfo failed>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Camb Tech Level 3\Unit 3\OCR-cybersecurity delivery guide.pdf
http://www.computerweekly.com/news/4500245366/Ryanair-remains-tight-lipped-over-33m-hacker-,404,HTTP Error 404: Not Found,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Camb Tech Level 3\Unit 3\OCR-cybersecurity delivery guide.pdf
http://www.cpcmania.com/My-Games/covers/big/Gauntlet%20II.jpg,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Camb Tech Level 3\Unit 1\2023\Week07 - Protocols.pptx
http://www.cpni.gov.uk/advice/cyber/Patching/,403,HTTP Error 403: Forbidden,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Camb Tech Level 3\Unit 3\OCR-cybersecurity delivery guide.pdf
http://www.cpni.gov.uk/documents/publications/2013/2013053-spear-phishing-understanding-the-,403,HTTP Error 403: Forbidden,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Camb Tech Level 3\Unit 3\OCR-cybersecurity delivery guide.pdf
http://www.cps.gov.uk/legal/a_to_c/computer_misuse_act_1990/,404,HTTP Error 404: Not Found,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp1\Unit 9 Legal-moral-ethical-and-cultural-issues\Unit 9 Legal and cultural issues\Unit assessment\Unit 9 Assessment Answers.docx
http://www.cps.gov.uk/legal/a_to_c/computer_misuse_act_1990/#an06,404,HTTP Error 404: Not Found,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp1\Unit 9 Legal-moral-ethical-and-cultural-issues\Unit 9 Legal and cultural issues\Unit assessment\Unit 9 Assessment Answers.docx
http://www.cps.gov.uk/legal/h_to_k/intellectual_property_crime/,404,HTTP Error 404: Not Found,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp1\Unit 9 Legal-moral-ethical-and-cultural-issues\Unit 9 Legal and cultural issues\Unit assessment\Unit 9 Assessment Answers.docx
http://www.dailyclipart.net/wp-content/uploads/medium/clipart0135.jpg,,<urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\CyberEPQ\Primary Research Methods.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\CyberEPQ\Research Methods.pptx
http://www.ebuyer.com,,timed out,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\AAQ Application Development\Application development - Docs and specs\F161 mandatory unit - Developing application software\Scheme of work Developing application software (F161).docx
